ecycl   dX       acct   rho     temp     uMean        uStd       uInt         pMean       pStd        pInt
7.000   5.000    55.0   0.100   2.000    -0.66528     0.02828    -0.66486     0.17806     0.01309     0.17843
4.000   5.000    33.0   0.200   2.000   *********   *********   *********   *********   *********   *********
4.000   5.000    33.0   0.200   2.000    -1.33557     0.03569    -1.32905     0.29718     0.04020     0.30082
4.000   2.000    42.0   0.200   2.000    -1.30376     0.03106    -1.29873     0.30882     0.02889     0.31974
4.000   2.000    42.0   0.200   2.000    -1.30571     0.05520    -1.30386     0.33101     0.03548     0.33269
4.000   2.000    42.0   0.200   2.000    -1.28213     0.02747    -1.29074     0.30816     0.03586     0.31204
6.000   2.000    42.0   0.200   2.000    -1.30563     0.03690    -1.30606     0.32931     0.03550     0.32958
7.000   2.000    42.0   0.200   2.000    -1.30347     0.03755    -1.30425     0.33010     0.03843     0.33016
5.000   2.000    17.0   0.400   2.000   *********   *********   *********   *********   *********   *********
5.000   2.000    17.0   0.400   2.000    -2.54899     0.04252    -2.55217     0.71498     0.11185     0.70946
5.000   2.000    17.0   0.400   2.000    -2.53971     0.03762    -2.53424     0.71848     0.10197     0.73327
5.000   2.000    17.0   0.400   2.000    -2.53437     0.04169    -2.52885     0.68956     0.09550     0.69967
7.000   2.000    17.0   0.400   2.000    -2.53602     0.04504    -2.53733     0.70364     0.10662     0.70673
4.000   2.000    12.0   0.600   2.000   *********   *********   *********   *********   *********   *********
4.000   2.000     5.0   0.600   2.000    -2.61825     0.47607    -2.61632     5.30529     1.49280     5.27886
4.000   2.000     5.0   0.600   2.000    -3.25765     0.05621    -3.26653     3.28228     0.17385     3.27348
4.000   2.000     4.0   0.600   2.000    -3.51029     0.08384    -3.52207     2.57623     0.25967     2.55588
4.000   2.000     4.0   0.600   2.000    -3.57668     0.02061    -3.55394     2.40074     0.06322     2.35606
4.000   2.000     4.0   0.600   2.000    -3.61629     0.03707    -3.57378     2.28205     0.14918     2.32213
4.000   2.000     4.0   0.600   2.000    -3.64680     0.03828    -3.61216     2.14613     0.14185     2.16784
7.000   2.000     4.0   0.600   2.000    -3.75300     0.05664    -3.75062     1.74212     0.19881     1.75455
4.000   2.000     8.0   0.800   2.000   *********   *********   *********   *********   *********   *********
4.000   2.000     2.0   0.800   2.000     2.03890     1.76889     1.98933    31.21976     6.42706    30.98908
4.000   2.000     1.0   0.800   2.000    -0.98555     0.35687    -0.86596    20.05763     1.33420    20.77671
4.000   2.000     0.0   0.800   2.000    -1.86394     0.15415    -1.70695    16.70643     0.61413    17.59997
4.000   2.000     0.0   0.800   2.000    -2.20657     0.05613    -2.13728    15.32815     0.21020    15.87790
4.000   2.000     0.0   0.800   2.000    -2.44289     0.08928    -2.35890    14.44699     0.35694    15.10195
4.000   2.000     0.0   0.800   2.000    -2.57859     0.03142    -2.51642    13.89007     0.12831    14.36805
7.000   2.000     0.0   0.800   2.000    -4.75386     0.11403    -4.75367     5.28332     0.47902     5.31772
